Location,Bosniaks,Croats,Serbs,Other
Banovići,72.10,2.10,17.00,8.90
Banja Luka,14.60,14.80,54.60,16.00
Berkovići,20.40,18.40,60.10,1.10
Bihać,64.50,7.70,19.90,7.90
Bijeljina,31.20,0.50,59.20,9.20
Bileća,14.70,0.30,80.00,5.00
Bosanska Krupa,68.30,0.30,28.60,2.70
Bosanski Petrovac,21.60,0.30,74.30,3.90
Bosansko Grahovo,0.10,2.70,94.90,2.20
Bratunac,64.10,0.10,34.10,1.70
Brcko District,44.10,25.40,20.70,9.80
Breza,75.50,4.90,12.30,7.30
Brod,12.10,41.40,32.90,13.60
Bugojno,42.00,34.20,18.50,5.30
Busovača,44.80,48.20,3.30,3.80
Bužim,98.50,0.00,0.50,1.00
Cazin,97.30,0.20,1.20,1.30
Centar,50.10,6.80,21.00,22.00
Čajniče,44.90,0.10,52.60,2.40
Čapljina,27.50,53.70,13.50,5.30
Čelić,73.20,9.50,15.10,2.20
Čelinac,7.70,0.40,88.50,3.40
Čitluk,0.70,98.30,0.10,0.90
Derventa,12.50,38.90,40.60,8.00
Doboj,32.40,11.50,47.40,8.80
Doboj East,96.30,0.10,1.90,1.60
Doboj Jug,93.40,3.00,0.60,3.00
Dobretići,0.10,98.50,0.10,1.30
Domaljevac-Šamac,0.10,93.60,4.40,1.90
Donji Vakuf,55.40,2.80,38.40,3.40
Donji Žabar,0.30,35.30,62.50,1.80
Drvar,0.20,0.20,96.80,2.80
Foča-Ustikolina,69.80,0.00,28.80,1.40
Foča ,48.70,0.30,47.50,3.50
Fojnica,49.20,40.60,1.00,9.20
Gacko,35.80,0.30,61.70,2.20
Glamoč,17.90,1.50,79.00,1.60
Goražde,68.50,0.20,27.40,3.90
Gornji Vakuf-Uskoplje,55.80,42.50,0.40,1.20
Gračanica,89.10,0.20,5.90,4.90
Mostar,34.80,33.90,18.80,12.50
Gradačac,81.00,5.70,8.50,4.80
Gradiška,26.40,5.70,59.60,8.30
Grude,0.00,99.10,0.10,0.80
Hadžići,63.60,3.10,26.30,7.00
Han Pijesak,41.70,0.10,56.20,2.00
Ilidža,46.20,11.30,32.00,10.40
Ilijaš,41.10,7.00,45.70,6.20
Istočna Ilidža,21.70,1.40,70.90,6.00
Istočni Drvar,1.60,0.00,98.40,0.00
Istočni Mostar,54.20,28.10,17.20,0.50
Istočni Stari Grad,31.10,0.30,67.80,0.90
Istočno Novo Sarajevo,4.80,0.90,90.40,3.80
Jablanica,71.70,18.10,4.00,6.30
Jajce,39.90,35.80,17.20,7.00
Jezero,35.50,6.10,55.30,3.10
Kakanj,54.60,29.60,8.80,7.00
Kalesija,85.40,0.10,11.80,2.70
Kalinovik,31.50,0.40,65.70,2.40
Kiseljak,40.50,51.90,3.10,4.50
Kladanj,74.10,0.20,22.80,2.90
Ključ,61.60,1.10,34.50,2.80
Kneževo,6.90,1.40,89.90,1.70
Konjic,54.60,26.00,15.00,4.40
Kostajnica,27.40,2.70,64.90,5.10
Kotor Varoš,30.10,29.00,38.10,2.70
Kozarska Dubica,20.40,1.50,68.70,9.30
Kreševo,22.70,70.00,0.50,6.70
Kupra na Uni,2.20,0.20,97.20,0.40
Kupres (BiH),9.10,43.20,46.20,1.50
Kupres,0.00,0.10,98.90,1.00
Laktaši,1.40,8.60,81.00,9.00
Livno,14.30,72.20,9.60,3.90
Lopare,13.50,0.30,82.20,3.90
Lukavac,67.20,3.80,20.80,8.20
Ljubinje,8.00,0.90,89.80,1.30
Ljubuški,5.60,92.20,0.20,2.00
Maglaj,54.90,10.70,28.50,5.90
Milići,48.70,0.00,49.50,1.80
Modriča,24.60,25.80,40.60,9.00
Mrkonjić Grad,8.90,7.70,79.90,3.50
Neum,4.40,87.70,4.80,3.10
Nevesinje,20.10,1.40,77.00,1.50
Novi Grad,34.80,0.70,59.40,5.10
Novi Grad Sarajevo,50.90,6.50,27.40,15.10
Novi Travnik,37.90,39.60,13.30,9.20
Ustiprača,81.00,0.10,17.30,1.60
Novo Sarajevo,37.00,9.60,32.10,21.20
Odžak,21.60,55.50,16.70,6.20
Olovo,73.40,3.90,20.20,2.60
Orašje,7.80,82.10,6.60,3.50
Osmaci,50.90,0.10,48.40,0.60
Oštra Luka,5.70,28.70,63.20,2.30
Pale-Prača ,69.90,0.20,29.20,0.80
Pale,20.50,0.90,74.70,3.90
Pelagićevo,0.10,42.20,51.90,5.80
Petrovac,0.00,0.50,99.20,0.30
Petrovo,0.70,0.40,94.40,4.50
Posušje,0.00,99.00,0.10,0.90
Prijedor,43.90,5.60,42.30,8.30
Prnjavor,15.20,3.70,71.20,10.00
Prozor-Rama,36.60,62.00,0.20,1.20
Ravno,1.20,45.20,51.80,1.90
Ribnik,0.70,0.10,98.40,0.80
Rogatica,60.30,0.10,38.00,1.60
Rudo,27.10,0.00,70.40,2.50
Sanski Most,50.50,5.10,40.10,4.30
Sapna,75.10,0.10,23.70,1.10
Sokolac,32.20,0.10,66.50,1.10
Srbac,4.30,0.60,88.70,6.30
Srebrenica,75.20,0.10,22.70,2.00
Srebrenik,74.60,6.70,13.00,5.60
Stari Grad,79.30,2.30,8.30,10.20
Stolac,48.70,36.50,11.90,2.90
Šamac,8.90,29.70,53.00,8.50
Šekovići,1.30,0.10,95.80,2.70
Šipovo,19.00,0.20,79.20,1.60
Široki Brijeg,0.00,98.90,0.50,0.50
Teočak,91.70,0.10,2.90,5.30
Teslić,21.20,16.20,54.90,7.70
Tešanj,84.40,8.50,3.80,3.20
Tomislavgrad,10.50,86.60,1.90,1.00
Travnik,45.40,37.00,10.40,7.20
Trebinje,19.00,1.50,69.90,9.60
